Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,Recycling_Glass,Recycling_Metal,Recycling_Paper,Recycling_Plastic,Cooking_Airfryer,Cooking_Grill,Cooking_Microwave,Cooking_Oven,Cooking_Stove,CarbonEmission
2,1,0,0,0,0,5,0,281,2,1312,1,2,6,5,23,2,1,0,1,1,0,0,0,0,0,2544
1,0,2,0,1,0,5,0,145,0,9313,2,3,16,21,2,2,0,0,1,0,1,1,1,0,1,4257
0,1,2,0,1,0,5,2,237,3,6938,2,6,20,45,5,0,1,1,0,1,1,1,0,1,0,5391
0,1,3,3,1,0,5,1,74,2,3430,2,6,8,28,7,2,1,0,1,0,1,1,0,0,1,3169
1,0,3,3,1,0,5,0,261,1,5475,0,5,18,13,17,0,0,0,0,0,0,0,0,1,1,3612
1,1,3,0,2,0,5,2,198,0,1741,2,6,6,42,13,1,0,1,0,0,1,1,1,1,0,3325
3,0,0,2,3,0,5,0,155,2,3756,3,6,13,42,22,2,0,1,0,1,0,0,1,1,1,3439
0,0,3,1,1,0,5,2,81,2,7918,3,1,14,32,15,1,0,0,0,0,1,1,1,0,0,4286
0,0,3,0,2,0,5,0,111,0,9845,3,6,9,37,19,1,0,1,0,0,0,0,1,0,0,4663
2,1,0,0,3,0,5,2,202,1,5203,1,7,14,27,9,1,1,1,0,0,0,0,0,0,0,4151
0,1,3,0,2,0,5,2,69,1,3291,1,5,0,4,22,0,1,0,0,1,1,1,0,1,0,2627
3,0,1,0,0,0,5,1,52,0,3709,0,3,4,41,12,2,1,0,1,1,1,1,1,1,0,2227
1,0,1,1,1,0,5,2,279,3,2950,2,7,5,1,7,2,0,1,1,0,1,1,0,1,0,3772
1,1,0,2,1,0,5,0,276,0,4424,1,4,11,23,8,2,1,0,1,0,0,0,0,0,1,3306
1,1,0,1,0,0,5,2,90,1,6239,1,3,10,28,8,2,1,1,0,0,0,0,0,1,1,4723
1,1,0,1,3,0,5,1,146,2,5278,0,6,2,33,7,1,1,0,0,1,1,1,1,1,1,5106
2,0,3,2,3,0,5,2,62,3,8931,2,4,3,28,24,2,0,1,1,0,0,0,1,0,0,5517
3,1,2,0,0,0,5,2,205,3,5095,3,2,10,0,14,2,0,1,0,0,1,1,1,1,0,4320
0,0,1,0,1,0,5,1,228,0,6574,3,5,19,23,1,0,1,1,1,1,1,1,1,0,1,3263
1,1,0,2,0,0,5,0,150,2,8922,0,4,23,49,12,2,1,1,0,1,1,1,1,1,1,7033
0,1,3,3,2,0,5,1,96,2,1614,3,1,3,18,8,2,1,1,1,1,1,1,0,0,0,1952
3,1,3,2,2,0,5,0,185,2,4579,0,6,5,2,1,2,1,1,0,0,0,0,0,0,0,2839
0,0,1,2,0,0,5,2,292,0,6734,0,6,17,43,15,0,1,0,0,0,0,0,0,0,0,4102
0,1,0,3,3,0,5,0,183,0,8669,0,5,10,31,17,1,0,1,0,1,0,0,1,0,1,4684
1,1,0,3,1,0,5,2,241,3,4501,3,1,3,25,3,2,1,1,1,1,1,1,0,1,1,4878
3,1,3,1,2,0,5,0,168,2,7584,2,5,15,48,23,2,1,0,1,0,0,0,0,0,0,4851
2,0,0,1,1,0,5,0,221,1,353,3,3,1,13,19,1,1,0,0,1,1,1,0,0,1,1469
1,1,3,0,0,0,5,0,87,3,9096,1,2,11,43,4,1,1,0,1,0,0,0,1,1,1,7226
1,1,2,2,3,0,5,1,246,3,9739,3,1,5,21,21,0,1,1,1,1,0,0,0,0,1,7337
2,0,0,0,3,0,5,1,133,0,1041,2,2,4,50,6,1,0,0,1,1,0,0,1,1,0,1780
1,0,3,3,1,0,5,0,156,2,8541,0,4,22,5,13,1,0,1,1,1,0,0,0,1,1,4506
2,1,1,0,3,0,5,2,259,3,1904,3,4,24,26,1,0,0,0,1,1,0,0,0,0,0,4171
1,1,3,3,0,0,5,0,152,0,1047,2,7,21,27,1,0,1,1,0,1,1,1,0,0,1,2605
3,1,1,0,0,0,5,0,148,1,8073,1,3,3,35,9,2,1,0,1,1,0,0,0,0,0,4185
2,0,3,0,3,0,5,1,296,2,6059,2,2,15,12,4,0,0,0,1,0,0,0,1,1,1,4078
1,0,0,0,0,0,5,2,247,1,5642,0,3,9,29,14,2,0,1,1,1,0,0,1,0,0,3959
0,0,3,3,1,0,5,2,119,2,9933,3,3,12,24,5,0,0,0,1,1,1,1,1,0,0,4824
1,0,2,2,0,0,5,1,238,0,3468,0,4,16,10,18,2,1,1,1,0,1,1,0,1,1,2416
0,0,2,1,0,0,5,0,107,2,9759,3,6,12,18,19,2,1,0,0,1,1,1,1,1,0,5424
0,1,2,2,2,0,5,2,56,0,7598,1,6,4,12,19,0,0,0,0,0,0,0,1,0,0,4462
0,1,3,1,3,0,5,0,298,1,1657,3,2,20,50,8,0,0,1,0,1,0,0,0,0,0,2431
0,0,3,2,0,0,5,0,95,3,2439,0,3,4,9,1,0,0,0,1,0,0,0,1,0,0,2799
2,0,2,3,2,0,5,2,170,2,6388,3,3,3,48,9,1,0,0,0,0,1,1,0,1,0,4605
1,0,1,2,1,0,5,0,114,3,2019,0,5,3,27,0,2,0,1,1,1,0,0,1,1,1,2624
1,1,3,0,3,0,5,1,294,3,1999,3,3,18,44,12,1,1,0,1,0,1,1,0,1,1,4741
3,0,1,3,2,0,5,2,149,1,7233,1,6,14,40,9,2,0,1,1,1,1,1,1,0,0,3764
3,1,2,3,0,0,5,0,280,2,343,2,1,8,36,15,0,1,0,0,1,1,1,1,0,1,2200
3,0,0,2,3,0,5,2,151,1,54,2,7,6,4,21,0,1,0,1,1,0,0,0,1,0,1568
1,0,2,2,2,0,5,1,164,1,909,0,1,9,45,22,0,1,1,1,1,1,1,0,1,1,1819
0,1,3,0,3,0,5,1,72,1,837,2,4,6,22,3,0,1,0,0,1,1,1,0,1,0,1824
0,1,3,0,2,0,5,1,216,0,2317,3,3,14,11,16,1,0,0,0,0,0,0,1,0,0,2266
1,0,2,1,3,0,5,1,129,0,3634,0,2,21,50,7,1,1,0,0,1,0,0,1,1,1,2881
2,0,1,2,0,0,5,1,76,0,6218,3,3,7,6,2,1,0,1,1,0,1,1,0,0,1,3197
3,1,1,0,0,0,5,2,70,1,3522,1,1,9,49,23,0,0,0,0,0,0,0,0,0,0,3102
3,1,1,0,1,0,5,1,256,1,6823,3,5,6,2,14,2,1,1,1,0,1,1,0,1,0,3721
2,0,2,0,1,0,5,0,64,3,3164,0,5,2,38,23,1,0,1,0,1,0,0,1,1,0,3364
0,1,1,0,0,0,5,1,297,2,4690,2,5,23,23,22,2,1,0,1,1,0,0,1,1,0,4105
0,0,3,3,1,0,5,2,245,3,1645,0,2,5,28,20,2,0,1,0,0,0,0,1,1,0,2618
3,1,2,2,1,0,5,1,284,0,2236,1,3,4,50,22,0,0,0,0,0,1,1,0,0,1,2360
1,1,0,3,0,0,5,2,50,0,7386,3,1,19,35,2,2,0,1,0,0,1,1,0,0,0,5360
2,1,3,2,0,0,5,0,264,3,3374,2,6,13,13,1,0,1,0,0,1,1,1,1,1,0,5034
1,0,0,2,1,0,5,0,112,3,960,2,5,4,40,11,2,1,1,0,0,1,1,0,0,0,3147
2,0,0,3,0,0,5,2,118,1,2089,1,7,16,4,20,0,1,1,0,0,1,1,0,1,0,2577
3,0,2,3,3,0,5,1,204,2,8442,3,6,10,1,5,0,0,1,1,1,0,0,0,1,0,3959
2,0,1,3,0,0,5,1,192,3,710,3,2,12,43,22,0,1,1,0,1,0,0,1,1,1,3221
3,0,0,2,0,0,5,0,155,0,5139,3,7,12,0,9,1,0,0,0,1,0,0,1,0,1,3230
1,0,3,3,3,0,5,2,97,0,5020,1,3,1,47,17,2,0,1,1,1,0,0,0,0,1,3264
3,1,2,1,2,0,5,1,160,2,5222,0,4,3,33,21,0,0,1,1,1,1,1,0,1,1,3595
1,1,3,3,0,0,5,1,191,2,2836,3,4,24,13,15,1,0,1,0,0,1,1,0,0,1,3855
2,1,3,0,0,0,5,1,166,0,8474,0,4,9,28,21,1,1,0,1,1,1,1,1,1,1,5072
2,1,0,2,2,0,5,2,292,0,7908,2,7,22,8,6,1,1,1,1,0,0,0,1,1,0,5034
3,1,0,1,2,0,5,0,165,0,9910,3,3,15,16,16,2,0,0,0,1,0,0,0,1,1,4786
0,1,0,3,3,0,5,2,243,2,8711,1,3,20,11,3,0,1,0,1,0,0,0,1,1,0,5108
2,0,3,0,2,0,5,0,53,0,6478,3,5,20,50,16,0,0,1,1,0,0,0,0,0,1,4070
3,1,3,2,0,0,5,0,125,2,5876,3,7,14,35,8,2,0,1,1,1,0,0,0,1,1,4926
2,0,1,2,2,0,5,0,267,1,3199,1,5,0,34,4,0,1,0,1,1,1,1,1,0,1,2659
2,1,1,0,1,0,5,0,162,2,5254,2,1,9,22,9,0,1,0,0,1,0,0,1,0,0,3786
3,0,1,1,2,0,5,2,239,1,6343,1,4,24,36,8,2,0,0,0,0,1,1,0,1,1,3508
1,1,2,3,3,0,5,0,186,0,8096,1,5,11,22,23,1,1,1,1,1,1,1,1,1,0,4954
1,1,0,0,2,0,5,1,112,1,7768,1,3,4,3,12,1,0,0,0,1,1,1,0,1,0,5128
2,1,2,0,2,0,5,1,75,2,2737,1,4,17,2,22,2,1,1,0,0,1,1,1,0,1,2862
2,1,0,2,3,0,5,0,195,1,84,2,7,15,2,21,0,0,0,1,1,0,0,1,1,0,1962
1,1,1,0,2,0,5,1,231,0,4269,1,2,23,29,16,2,1,0,1,1,0,0,1,1,0,3336
1,1,0,0,0,0,5,1,126,2,1413,1,5,15,7,9,0,0,0,1,0,0,0,0,1,0,2957
0,0,2,1,2,0,5,1,187,1,6117,2,2,16,47,10,2,1,0,0,1,1,1,0,0,1,3380
3,0,0,1,0,0,5,1,295,1,6364,3,5,9,50,5,2,1,0,1,1,1,1,0,0,1,3996
2,0,1,0,3,0,5,0,92,0,4413,1,3,15,21,18,2,1,0,0,1,0,0,0,1,0,2554
2,1,1,0,3,0,5,1,292,2,4689,0,7,4,43,6,1,0,0,1,0,0,0,0,0,1,4429
3,0,0,1,3,0,5,1,98,2,9787,1,4,21,12,12,0,1,0,0,1,0,0,1,1,1,4547
3,0,2,0,1,0,5,1,182,3,5485,1,1,20,40,5,1,1,0,1,1,0,0,0,0,1,3449
2,0,3,3,0,0,5,1,80,3,1312,3,6,10,46,23,0,1,1,1,0,0,0,0,0,0,3636
1,0,0,3,3,0,5,0,56,2,9598,0,2,17,33,10,1,0,0,1,1,0,0,1,1,0,5677
0,0,0,0,0,0,5,1,206,3,5286,1,1,5,29,21,2,0,0,0,1,1,1,0,1,0,4313
3,0,2,2,0,0,5,0,87,2,6946,0,6,14,45,19,2,1,0,1,1,0,0,0,1,0,3936
3,1,1,1,2,0,5,0,210,0,8728,0,4,21,29,21,0,1,1,1,0,1,1,1,1,0,4179
2,0,3,1,2,0,5,2,53,3,9686,1,7,20,40,1,2,1,0,0,0,1,1,0,1,0,6185
1,0,3,3,1,0,5,1,297,0,9580,2,4,5,36,21,0,1,1,1,1,1,1,1,0,0,5229
0,0,0,0,0,0,5,2,273,0,9486,1,7,23,48,16,0,0,0,0,1,0,0,1,0,0,5302
1,0,0,2,3,0,5,2,93,1,8521,3,1,7,34,11,0,1,1,1,0,1,1,0,0,0,4796
2,0,3,3,1,0,5,2,279,3,6843,3,2,24,13,14,2,0,0,1,1,0,0,0,1,0,4929
0,0,0,1,1,0,5,1,79,0,6179,1,3,7,2,22,0,1,0,1,0,0,0,1,1,1,2578
3,0,1,1,3,0,5,0,122,3,1669,1,4,9,6,1,1,1,1,1,0,1,1,0,1,1,2161
2,0,2,3,3,0,5,1,247,1,7023,2,7,2,1,11,1,0,0,1,0,0,0,0,0,0,4000
1,0,1,1,2,0,5,2,65,2,7189,0,5,0,50,22,0,1,0,0,1,1,1,1,0,1,5158
1,0,1,3,0,0,5,1,245,3,3422,1,4,2,24,22,0,1,1,1,1,1,1,0,0,1,4080
0,0,3,0,3,0,5,0,155,0,2752,2,2,11,28,0,0,0,1,1,0,0,0,0,0,0,1694
1,0,3,0,3,0,5,0,179,2,3148,2,7,9,27,4,0,0,1,1,0,1,1,0,1,0,3630
2,0,3,1,1,0,5,2,198,1,5151,3,4,19,19,12,1,0,1,0,0,1,1,1,1,0,3341
2,1,2,1,0,0,5,0,261,3,3229,1,1,10,42,3,2,0,0,1,1,0,0,1,1,0,4352
1,1,3,1,3,0,5,2,185,1,2077,3,1,11,30,20,0,1,1,1,1,1,1,1,0,1,2626
0,1,2,1,1,0,5,2,249,0,7179,1,6,21,9,13,1,1,1,0,0,1,1,0,0,1,3821
2,0,0,0,1,0,5,2,60,1,7186,2,5,4,11,7,0,1,0,1,1,0,0,0,0,0,3508
3,0,3,2,1,0,5,2,135,1,5330,1,7,6,23,3,2,1,0,1,0,1,1,0,1,1,2813
1,1,2,3,3,0,5,1,78,1,798,3,3,0,33,13,1,0,0,1,0,1,1,1,1,0,2401
1,0,0,2,2,0,5,2,188,1,2553,3,3,4,29,9,2,1,0,0,1,0,0,1,1,1,3050
3,1,1,1,1,0,5,1,266,2,6743,2,1,20,23,18,0,0,0,0,0,0,0,1,1,0,4416
3,0,1,1,3,0,5,2,139,1,1025,3,1,12,14,20,2,1,0,0,0,1,1,0,1,0,1543
3,1,1,0,3,0,5,0,282,1,8881,0,7,0,4,14,2,0,0,1,0,0,0,0,1,0,4323
1,0,1,0,1,0,5,2,223,0,8741,0,1,22,32,23,2,1,0,1,1,1,1,0,0,0,4562
0,1,1,1,2,0,5,2,202,1,7934,2,3,20,37,0,0,1,0,1,0,1,1,0,0,1,4631
3,0,3,3,1,0,5,2,210,3,6683,1,1,6,1,20,2,1,0,1,1,0,0,0,0,1,3624
3,0,1,3,0,0,5,0,183,3,2132,1,5,8,37,9,2,1,1,1,0,1,1,0,0,1,2886
0,0,2,3,1,0,5,0,117,1,185,1,2,9,5,20,2,1,0,1,1,0,0,0,1,0,572
1,1,0,1,1,0,5,1,163,2,3674,3,4,15,44,17,2,1,0,1,0,1,1,1,1,1,4285
0,1,1,3,0,0,5,1,160,2,9363,2,4,11,10,24,1,1,1,0,1,1,1,0,0,1,5425
2,0,0,3,1,0,5,0,71,1,352,1,5,1,13,4,1,0,1,0,1,0,0,1,1,0,1073
1,0,0,2,3,0,5,1,238,3,3913,3,6,19,30,10,1,0,0,1,0,0,0,1,1,0,5238
2,0,0,0,0,0,5,2,104,2,5677,0,2,8,34,19,0,0,1,0,0,1,1,1,1,0,4385
0,0,2,2,1,0,5,2,70,3,3627,1,6,21,3,2,0,1,1,0,1,1,1,1,1,0,2930
0,0,3,2,3,0,5,2,157,1,6804,3,6,18,21,23,1,0,1,0,0,1,1,1,0,1,4231
3,0,0,1,2,0,5,1,191,0,1652,0,7,2,11,17,0,0,1,1,0,0,0,0,1,1,1537
2,1,1,3,0,0,5,0,242,2,217,1,6,21,47,17,2,0,0,0,1,0,0,1,1,1,3142
3,1,2,0,3,0,5,1,131,3,1992,0,4,11,49,9,2,0,1,0,0,0,0,0,0,0,3265
2,0,3,1,2,0,5,2,171,1,6066,1,5,1,9,23,2,1,0,0,1,0,0,1,1,0,3685
3,1,0,0,0,0,5,0,107,1,599,0,3,23,14,9,0,0,1,0,0,1,1,1,0,1,1534
2,1,3,1,2,0,5,0,81,2,5781,3,6,12,30,20,2,1,1,0,0,0,0,0,1,0,4933
1,0,0,0,2,0,5,1,257,0,1568,1,6,8,24,24,0,0,0,1,1,1,1,1,0,0,2450
0,0,2,1,3,0,5,0,214,2,4684,3,7,9,44,13,2,1,1,1,0,0,0,0,1,1,3600
1,1,3,3,1,0,5,1,255,1,7874,3,3,1,3,5,0,1,1,0,1,0,0,0,0,1,4663
3,1,3,2,0,0,5,0,181,1,5497,2,1,11,20,3,2,0,1,0,0,1,1,0,1,0,3308
1,0,3,2,2,0,5,1,283,0,8731,2,3,24,38,19,2,0,1,0,1,0,0,1,1,0,5346
1,0,1,0,3,0,5,2,180,3,8977,2,1,12,19,1,2,1,0,1,0,1,1,0,0,0,5667
2,0,2,3,3,0,5,0,59,2,7300,0,3,13,38,6,0,0,1,0,0,1,1,0,1,0,4584
2,1,2,3,1,0,5,1,195,2,2829,0,7,13,2,5,0,0,1,1,0,1,1,0,1,1,2573
0,1,0,3,0,0,5,1,284,3,6645,2,6,19,33,2,1,0,0,1,0,1,1,1,1,1,6160
3,1,1,2,0,0,5,2,248,2,8241,0,6,23,5,18,1,1,1,1,1,0,0,1,1,1,4680
3,0,1,1,0,0,5,2,87,2,1262,2,5,4,6,9,1,0,1,1,0,0,0,1,1,1,2032
2,1,0,1,3,0,5,1,83,1,3362,3,7,19,3,0,2,0,1,0,1,1,1,0,1,1,3301
3,0,1,0,0,0,5,0,244,2,2972,0,5,17,16,15,0,1,1,0,1,1,1,0,1,1,2635
0,1,2,2,1,0,5,0,257,3,9385,1,2,10,41,3,1,1,1,1,1,0,0,0,0,1,5449
1,1,2,1,3,0,5,1,166,1,4195,1,2,21,43,5,2,0,1,1,0,0,0,0,1,0,3422
0,0,1,3,2,0,5,0,216,1,8921,0,5,22,35,10,0,1,1,1,1,1,1,1,1,0,4184
0,1,1,2,0,0,5,1,173,1,4472,0,4,12,0,23,2,0,0,1,1,1,1,0,0,0,2989
3,1,0,3,0,0,5,2,260,1,9767,1,7,3,3,13,0,0,1,0,0,1,1,0,1,0,5145
1,1,3,2,0,0,5,2,133,2,8026,2,7,2,26,8,1,1,1,0,0,1,1,1,1,1,6176
2,1,2,1,3,0,5,1,288,3,4362,1,5,6,36,21,1,0,0,0,1,0,0,0,1,0,5279
0,1,0,2,2,0,5,1,240,1,8046,0,1,8,11,15,1,0,1,0,1,1,1,0,1,1,4552
0,1,0,2,0,0,5,2,110,0,9599,0,4,21,33,20,0,0,0,1,1,0,0,1,1,0,4974
3,1,0,1,1,0,5,0,183,1,4553,1,5,2,38,1,1,0,1,0,0,0,0,0,0,1,3016
3,1,3,0,3,0,5,0,146,1,2660,0,5,3,37,9,2,0,1,0,1,0,0,0,1,1,2265
0,1,3,2,3,0,5,1,237,2,5866,3,5,0,4,4,0,1,1,0,1,1,1,0,0,0,4035
2,0,2,2,1,0,5,0,230,0,9598,1,6,16,37,0,1,1,1,1,0,0,0,1,0,0,4209
3,1,1,2,1,0,5,0,286,2,7023,3,4,19,38,5,0,1,0,0,0,1,1,1,0,0,4846
2,0,0,3,2,0,5,1,141,3,2311,3,2,17,11,19,0,0,0,0,0,1,1,1,1,0,3683
1,0,3,0,0,0,5,1,172,0,5093,3,4,11,42,7,2,1,1,0,1,1,1,1,0,0,3913
0,0,3,0,3,0,5,0,168,2,7719,3,3,5,9,3,1,1,1,1,0,0,0,1,0,1,3676
2,0,1,1,2,0,5,2,142,2,7703,2,6,0,32,19,0,0,1,0,0,1,1,1,1,1,5162
2,0,2,3,3,0,5,1,69,0,654,1,3,11,43,22,2,1,0,1,1,0,0,0,0,1,1515
2,0,2,1,1,0,5,1,299,2,1471,3,2,5,6,20,0,0,0,1,0,1,1,0,1,0,2065
0,1,0,1,3,0,5,2,241,2,8898,1,7,11,0,9,2,0,0,0,1,0,0,1,0,0,5592
0,0,1,0,0,0,5,1,123,3,2336,1,1,8,39,3,1,1,1,1,0,1,1,0,1,1,3112
0,1,2,1,1,0,5,1,76,1,5776,0,4,15,34,20,0,1,1,0,0,0,0,1,0,0,3135
2,1,1,2,1,0,5,0,267,1,2110,1,1,3,13,10,2,1,0,0,1,1,1,0,1,0,1861
2,1,3,2,1,0,5,0,194,3,8192,2,4,15,45,17,1,1,0,0,0,0,0,0,1,1,6637
3,0,2,0,0,0,5,0,118,3,5457,1,5,11,8,24,2,0,1,1,1,0,0,1,1,1,3728
2,0,3,0,3,0,5,1,89,1,6229,0,2,20,1,11,2,0,1,1,0,0,0,1,0,0,2922
0,0,3,1,2,0,5,1,274,2,1548,0,4,15,11,22,2,0,0,1,1,1,1,1,1,0,2044
0,1,0,0,3,0,5,2,204,2,6452,1,7,15,27,3,2,0,1,1,1,1,1,1,0,1,4814
2,0,1,1,1,0,5,0,63,2,9779,3,4,11,19,21,1,1,0,0,0,1,1,0,0,0,5409
1,1,2,0,0,0,5,0,118,1,7424,1,7,22,32,1,1,0,1,1,0,1,1,1,0,1,5476
1,0,2,3,1,0,5,0,166,2,7793,0,2,21,5,5,1,0,1,1,0,0,0,1,0,0,4158
2,0,3,1,3,0,5,2,288,3,4905,1,2,8,19,2,2,1,1,1,1,0,0,1,1,0,3876
2,0,2,0,1,0,5,2,294,2,9704,2,1,6,34,8,2,1,1,0,1,1,1,0,0,1,4877
2,0,1,2,1,0,5,0,51,3,9165,0,5,13,11,18,2,1,0,0,1,0,0,1,0,0,5111
0,1,0,3,3,0,5,2,226,2,6257,0,5,8,17,17,2,1,0,1,1,1,1,0,0,1,3988
1,1,2,3,2,0,5,1,227,2,7206,2,2,9,9,11,2,1,1,1,1,0,0,0,1,1,4900
0,0,2,0,1,0,5,2,296,3,5817,1,2,1,35,1,2,1,1,1,0,0,0,1,0,0,3628
0,0,2,0,2,0,5,2,266,2,9172,1,7,3,14,16,1,0,1,0,1,1,1,1,1,1,4675
1,0,2,2,2,0,5,1,299,0,8518,0,6,17,14,5,0,0,1,0,0,0,0,0,1,1,4557
2,0,3,3,1,0,5,2,104,3,8782,0,5,4,21,3,0,0,1,0,1,1,1,0,0,0,5174
1,1,0,3,3,0,5,2,226,2,1261,2,6,22,25,1,1,1,0,0,1,0,0,1,1,0,3753
3,1,3,0,1,0,5,0,105,1,9029,3,5,23,18,21,0,0,0,1,0,0,0,0,1,0,4798
3,0,2,2,3,0,5,0,236,2,6007,1,5,12,27,5,1,0,0,0,0,0,0,1,1,0,3758
0,1,2,0,3,0,5,0,161,3,6865,2,6,9,43,6,1,1,0,0,1,0,0,1,1,0,5578
2,0,3,1,0,0,5,0,225,0,1716,2,4,6,5,3,1,1,1,0,1,0,0,0,0,0,1656
3,1,0,0,1,0,5,0,195,3,2971,3,6,11,17,13,0,0,1,1,1,0,0,0,0,1,3844
2,1,0,2,1,0,5,0,74,3,7900,2,7,22,21,1,0,0,0,1,1,1,1,1,1,1,5921
1,0,0,1,3,0,5,1,83,1,3882,0,4,9,34,6,1,0,0,0,0,0,0,0,0,0,3114
1,1,0,3,2,0,5,2,74,2,5060,2,1,21,27,10,1,1,1,0,1,0,0,0,1,1,4627
0,1,3,0,2,0,5,2,53,3,3400,2,2,12,31,15,1,1,0,0,1,1,1,0,1,0,3928
1,1,1,0,2,0,5,1,252,1,9061,1,3,21,47,4,1,1,1,0,0,0,0,1,0,0,6076
1,0,3,3,3,0,5,2,262,0,1721,3,6,4,15,7,0,0,0,0,0,1,1,0,0,1,2682
0,0,0,3,0,0,5,1,160,2,922,1,4,7,30,9,1,1,0,1,0,1,1,1,1,0,2137
1,0,1,0,2,0,5,0,188,1,959,3,5,0,49,1,0,1,1,1,0,0,0,0,0,1,2474
0,1,3,2,1,0,5,0,94,3,2142,3,6,15,17,19,2,1,0,1,0,1,1,0,1,0,3506
1,1,0,1,3,0,5,2,125,2,9658,0,2,16,24,8,1,0,0,1,1,1,1,0,1,1,6786
0,0,0,3,2,0,5,1,140,1,4747,2,2,21,41,5,1,0,1,1,1,0,0,0,1,0,2865
