Body Type,Sex,Diet,How Often Shower,Heating Energy Source,Transport,Vehicle Type,Social Activity,Monthly Grocery Bill,Frequency of Traveling by Air,Vehicle Monthly Distance Km,Waste Bag Size,Waste Bag Weekly Count,How Long TV PC Daily Hour,How Many New Clothes Monthly,How Long Internet Daily Hour,Energy efficiency,CarbonEmission,Recycling_Metal,Recycling_Paper,Recycling_Plastic,Cooking_Grill,Cooking_Microwave,Cooking_Oven,Cooking_Stove
2,0,1,1,3,1,4,2,104,1,948,2,6,1,6,22,2,1565,0,1,0,1,0,0,1
3,1,2,3,1,0,5,2,126,3,7622,1,2,6,37,9,1,5272,0,0,0,0,0,0,1
0,0,0,3,3,2,4,2,288,0,51,0,4,15,22,6,0,1220,1,1,0,0,0,1,1
0,1,2,2,1,0,1,2,282,1,2237,2,6,0,8,5,0,1300,1,0,1,1,0,1,0
1,0,1,0,3,1,4,0,69,1,1804,2,1,6,3,7,0,1024,1,0,0,0,1,1,1
2,1,0,2,3,2,4,1,110,0,85,0,3,14,4,3,1,706,1,1,1,1,1,1,1
1,1,3,1,0,0,0,2,165,2,472,0,4,17,24,20,2,2582,0,1,0,0,1,0,0
2,1,2,1,0,0,0,1,62,3,5737,1,1,5,20,20,2,4284,1,1,0,1,0,0,0
1,0,1,0,1,2,4,1,94,1,88,1,6,17,0,3,1,807,1,1,1,1,1,1,1
3,0,2,1,1,1,4,2,259,2,558,2,4,4,50,23,1,1991,1,0,0,1,0,1,0
1,1,3,0,1,1,4,1,67,1,752,2,3,14,37,14,1,1817,0,0,1,0,0,0,1
1,1,1,1,3,2,4,0,130,1,71,0,2,10,15,10,0,1490,0,0,0,1,0,1,0
3,0,0,0,1,1,4,0,258,2,1028,0,2,13,44,4,2,1561,1,0,0,1,1,1,0
1,0,2,3,3,1,4,1,189,2,1527,1,4,23,34,10,2,2202,1,0,0,1,1,0,0
3,0,3,1,0,2,4,1,262,2,88,2,5,24,8,15,1,2024,0,0,0,1,1,0,0
0,0,1,1,2,2,4,0,157,2,73,1,4,1,42,22,0,1659,1,1,0,1,1,1,1
0,0,1,1,3,0,3,2,280,3,8320,0,5,9,0,4,1,3911,1,1,0,1,0,1,1
0,1,3,2,0,2,4,1,121,0,72,1,6,11,4,10,2,1204,1,0,0,1,1,0,1
3,0,2,0,0,2,4,2,174,3,9,2,2,1,40,15,2,2431,0,1,1,0,1,0,1
1,1,3,1,1,2,4,1,173,2,60,1,2,16,14,20,1,1640,0,0,1,0,0,0,0
3,1,2,2,2,2,4,1,199,2,13,1,5,17,6,15,0,1648,1,1,0,1,1,1,1
3,1,0,0,3,2,4,0,94,1,32,0,6,15,5,17,1,1002,1,0,0,1,1,0,0
3,0,1,0,0,2,4,0,64,2,49,0,1,19,47,16,2,1771,0,0,1,1,1,1,1
2,0,0,2,1,1,4,0,100,3,1351,3,1,20,24,5,2,2028,0,1,1,1,1,0,1
0,0,3,3,0,1,4,2,240,3,1726,1,2,15,19,5,0,2540,1,0,0,0,0,1,1
3,0,0,1,1,1,4,1,245,0,1021,1,7,14,48,10,0,1386,1,1,0,1,0,1,1
0,0,1,1,0,2,4,1,270,1,62,0,5,22,21,11,1,1679,0,0,1,1,1,1,1
2,1,0,1,3,0,1,2,294,3,9488,0,5,16,20,18,2,3141,0,0,0,0,0,0,0
0,1,3,3,3,1,4,0,87,3,1037,2,4,0,11,24,0,2627,0,1,1,1,1,1,1
3,1,1,0,3,0,1,0,209,0,9555,2,2,13,43,3,2,1188,1,1,0,1,1,1,0
3,1,1,2,1,0,0,0,124,0,9031,3,5,1,11,5,2,3174,0,0,1,1,0,0,1
2,0,3,3,2,1,4,1,276,2,1461,2,7,19,5,12,1,2327,1,0,0,1,1,1,1
2,0,2,1,3,2,4,0,90,3,39,1,3,22,7,9,2,1822,1,1,1,0,1,1,1
1,0,2,0,2,0,0,1,136,0,5033,1,6,0,43,24,0,2665,1,1,1,0,0,1,1
3,1,2,1,1,1,4,1,246,2,1065,3,4,22,43,7,2,2129,1,0,1,1,1,1,1
0,1,1,0,3,1,4,2,94,1,927,1,5,18,10,21,2,1425,0,1,0,0,0,1,0
2,1,3,3,1,0,2,0,253,2,2277,2,1,0,11,20,1,1690,1,1,0,0,0,0,1
1,0,0,3,2,2,4,0,200,1,97,1,7,13,18,0,1,1717,1,0,0,0,1,0,1
0,1,2,0,0,0,3,1,281,2,7272,2,2,4,38,5,0,4060,0,1,0,1,1,0,0
1,0,3,0,1,0,5,1,82,1,5260,3,3,14,18,17,0,3262,0,0,1,1,0,1,1
2,0,1,3,0,1,4,2,73,1,1750,3,1,9,30,12,2,1674,0,1,0,1,1,1,1
1,1,3,1,2,0,2,2,246,2,2998,0,4,0,36,3,1,3135,1,0,0,0,1,1,1
3,1,1,0,2,0,3,1,98,1,9147,3,5,1,49,20,2,4465,0,0,1,1,1,0,1
2,1,1,2,1,1,4,0,256,1,1947,3,3,23,33,8,1,1984,0,0,0,0,0,0,1
2,0,3,0,1,0,3,2,287,3,4885,2,1,21,21,3,2,3246,1,0,1,1,1,0,1
1,0,0,1,1,2,4,0,63,2,20,2,4,1,6,14,0,1351,1,1,1,1,1,1,1
1,1,3,0,0,2,4,2,158,0,23,3,1,24,33,2,0,1929,0,0,0,0,0,0,1
1,1,0,2,1,2,4,2,241,2,34,2,5,24,15,10,2,2719,0,0,0,1,1,1,0
1,0,3,2,0,2,4,0,176,2,59,2,1,11,41,19,2,2336,0,1,0,0,0,1,1
0,0,3,0,3,1,4,2,189,0,682,0,6,0,35,3,1,1270,0,0,0,1,1,0,1
1,0,3,0,2,2,4,2,214,0,10,2,6,20,12,24,2,1803,0,0,0,0,1,0,1
0,0,2,1,1,2,4,1,264,3,10,1,1,7,22,17,1,1816,0,1,0,1,1,1,0
0,1,0,2,0,0,5,1,213,0,7964,0,1,16,43,9,0,4638,0,1,1,0,0,1,1
3,0,0,2,0,0,2,2,281,1,3606,0,3,16,8,22,1,1909,1,0,1,0,0,0,1
0,1,2,0,2,1,4,1,280,2,536,2,2,2,30,1,2,2021,0,0,1,0,0,1,0
0,1,0,3,2,1,4,0,125,1,1564,2,5,4,15,23,0,1896,1,0,0,0,1,1,0
1,1,2,1,1,2,4,0,188,2,78,0,4,11,21,3,0,1770,0,1,0,1,0,1,0
0,0,0,1,3,2,4,2,251,0,98,0,1,12,47,3,0,1323,1,1,1,0,1,0,1
0,0,1,1,3,1,4,0,285,3,1820,0,1,21,24,9,2,2269,0,0,1,1,0,0,0
1,1,2,3,3,1,4,0,234,0,243,3,4,20,36,5,2,1918,1,0,1,1,0,1,1
2,0,2,1,2,1,4,1,91,3,1586,0,7,8,43,2,2,2477,1,1,1,0,1,1,1
0,0,0,1,2,2,4,0,118,2,11,2,3,6,10,16,0,1444,0,1,0,0,0,1,1
1,0,3,2,2,2,4,0,75,0,72,0,5,15,42,16,1,1254,0,1,1,1,0,0,1
2,1,3,3,1,1,4,0,134,0,1157,0,5,19,35,10,0,1411,0,0,0,1,0,1,0
3,1,1,1,3,1,4,2,282,0,1380,3,4,7,11,8,0,1605,0,0,1,1,0,0,0
1,1,3,0,1,0,3,2,110,0,5765,1,5,7,2,18,0,3054,0,1,0,0,0,1,1
2,0,3,0,2,2,4,0,202,3,92,3,6,9,16,14,2,2902,0,0,0,1,0,0,0
2,1,1,0,1,0,3,0,56,2,7797,2,7,22,8,15,2,4301,0,0,1,0,0,1,1
0,0,2,2,1,2,4,2,223,3,50,0,3,12,35,22,2,2308,0,0,1,1,1,1,0
0,0,3,3,3,0,5,2,202,2,7629,1,1,17,37,2,0,4132,1,0,1,1,0,0,0
2,1,3,1,3,0,5,1,114,2,2367,1,3,1,41,23,0,2993,1,1,0,0,0,1,1
2,0,0,1,3,0,5,2,141,2,3960,1,1,7,21,1,2,3098,0,1,1,0,0,0,0
2,0,2,2,0,2,4,1,236,1,42,3,2,19,15,10,2,1364,1,0,1,0,0,0,0
0,0,0,1,0,0,3,1,95,1,6455,2,1,15,31,14,2,2941,0,1,1,1,1,0,1
2,0,3,3,1,2,4,0,249,2,41,2,4,6,2,4,1,1349,0,1,0,0,1,0,0
2,0,1,1,2,2,4,2,213,0,71,1,1,24,17,16,2,1038,0,0,1,0,1,0,0
1,1,3,2,3,2,4,0,81,0,39,1,7,16,31,15,0,1815,0,0,1,0,0,0,0
2,0,3,3,0,2,4,0,91,3,50,3,1,13,29,24,0,2566,1,0,0,1,1,1,1
2,0,2,2,3,0,1,1,291,3,8707,1,3,2,23,23,1,2439,1,0,1,0,1,1,1
1,0,1,2,1,0,3,1,70,3,167,0,2,9,7,20,2,2056,1,0,1,0,0,1,1
2,0,1,3,2,1,4,2,89,3,631,1,7,2,0,18,1,2299,1,1,1,1,1,0,0
2,1,2,2,1,1,4,0,121,1,194,2,6,15,16,18,1,1492,1,0,1,1,0,0,1
3,0,0,1,0,2,4,2,198,1,46,1,1,12,45,17,0,1692,0,1,1,0,1,1,0
1,1,3,3,3,2,4,0,234,2,37,3,3,15,29,3,2,2581,0,1,0,1,1,0,0
2,1,3,0,3,2,4,1,84,1,31,2,2,0,1,1,1,950,1,0,0,1,0,0,0
0,1,2,2,0,0,3,2,182,0,2880,0,5,10,9,1,1,1923,0,1,1,1,1,1,0
2,0,1,0,3,2,4,2,275,0,6,3,2,19,49,19,2,1751,0,1,0,0,0,0,1
3,0,1,3,0,2,4,1,228,3,40,0,6,1,35,7,1,2562,0,0,0,0,1,0,1
2,1,2,3,3,2,4,0,140,2,1,2,6,9,24,24,0,2456,0,1,1,1,1,1,0
2,0,3,3,1,1,4,1,232,0,1341,3,1,22,8,1,1,657,1,0,1,0,0,1,1
0,0,1,2,1,1,4,2,115,3,393,0,3,21,13,9,0,1758,1,1,0,0,1,0,1
1,0,2,1,2,1,4,0,157,2,191,1,4,2,44,12,1,2184,0,0,1,0,1,0,0
1,0,1,2,0,1,4,1,156,3,131,3,1,14,20,23,0,3009,0,1,0,1,1,1,1
3,1,0,1,3,0,0,2,252,3,1419,2,5,8,43,20,2,3748,0,0,1,1,0,1,0
0,0,2,1,1,0,1,0,162,1,9159,0,7,2,26,16,0,1122,0,0,0,0,1,0,0
1,1,3,1,3,0,2,0,145,0,8016,0,3,21,14,16,0,2810,1,0,1,0,1,1,0
2,0,0,1,1,2,4,0,214,0,87,1,3,24,32,23,0,1346,0,0,1,0,1,0,0
3,0,2,2,2,2,4,0,126,1,3,0,5,15,3,12,2,671,1,1,1,0,0,1,1
3,0,0,2,3,2,4,2,91,2,13,3,1,19,44,16,2,1695,0,1,0,0,1,0,0
0,0,0,3,1,2,4,0,205,0,74,2,3,6,2,19,0,810,1,0,1,0,1,1,0
3,0,1,2,3,0,2,0,285,2,7743,3,3,1,33,4,2,2768,0,1,0,1,0,1,1
3,0,2,3,2,1,4,0,178,0,993,2,7,11,2,13,1,1033,0,1,1,0,1,0,0
1,0,0,2,0,1,4,1,236,1,1997,2,4,6,17,6,0,2046,0,1,1,1,0,1,0
1,0,0,3,0,0,1,0,286,1,2721,0,6,23,30,22,0,2171,1,0,0,1,1,1,1
0,0,3,1,0,2,4,2,108,1,5,1,7,21,0,4,2,1312,0,1,1,0,1,1,1
1,1,2,2,3,1,4,1,76,1,941,2,1,24,3,18,0,1209,1,0,1,0,0,1,1
3,1,2,3,0,0,0,1,270,2,8815,0,2,7,37,9,1,4017,1,0,0,0,1,0,0
0,0,1,3,3,0,1,2,146,1,3276,3,1,13,10,10,0,877,1,1,1,0,1,0,1
1,1,2,2,1,0,2,1,221,0,3309,1,5,8,16,20,2,1856,0,1,0,0,1,0,0
1,1,1,3,3,0,2,2,230,0,2623,1,2,20,31,12,0,2197,1,0,0,0,1,0,0
1,0,0,2,1,0,0,2,295,3,7915,2,1,15,10,18,1,4281,0,1,1,0,0,1,1
3,1,2,0,1,0,3,1,177,2,8897,0,3,17,3,24,2,3480,0,0,0,1,0,1,0
3,0,3,2,2,2,4,2,189,0,19,1,1,22,36,7,1,953,1,1,0,0,1,1,1
3,1,0,1,2,0,1,2,174,2,3662,0,2,9,44,21,2,2046,1,0,1,1,1,0,0
1,1,2,2,0,0,5,0,193,0,611,2,6,12,37,5,1,2521,1,0,1,1,1,1,1
2,1,0,2,3,1,4,0,238,3,1431,2,6,1,33,3,2,3551,0,1,0,1,0,1,0
0,1,1,2,3,1,4,1,101,0,1978,1,3,14,36,11,2,1459,0,1,1,1,0,0,0
3,1,2,1,1,2,4,1,99,3,92,3,2,8,29,18,0,2492,0,0,0,1,1,0,1
1,1,0,1,0,2,4,2,50,2,82,2,1,10,23,16,0,2411,1,0,0,1,1,1,1
1,0,1,1,0,1,4,0,71,3,1851,2,7,15,0,20,2,2761,0,1,1,0,0,0,1
3,0,3,2,3,1,4,1,232,1,1224,3,3,7,26,9,1,1500,1,0,1,1,1,1,1
2,1,1,3,3,0,1,1,247,0,8219,3,5,18,2,5,1,1708,0,0,0,0,0,1,1
1,0,0,0,0,1,4,1,222,0,1390,3,4,19,2,7,0,1717,1,0,0,1,1,0,0
2,1,2,0,3,1,4,1,61,2,434,1,1,23,41,14,0,2135,0,1,1,0,1,1,1
3,1,2,0,3,0,2,1,137,0,7460,0,6,5,11,20,1,2042,0,1,1,1,0,0,0
0,0,2,3,3,2,4,0,157,1,15,0,1,20,50,18,1,1221,1,1,0,1,0,0,0
3,1,3,0,2,0,0,0,174,3,4686,3,2,0,47,2,0,3473,0,1,1,0,1,0,0
0,0,3,1,1,2,4,2,214,0,88,2,5,12,39,21,1,1378,1,0,1,0,1,1,0
0,0,1,0,1,2,4,1,214,3,40,3,2,21,43,2,2,2135,1,1,1,1,1,0,0
0,1,1,3,3,2,4,0,66,0,56,0,6,11,49,20,0,1464,0,1,0,0,0,1,0
2,0,2,0,0,2,4,1,123,3,14,3,6,22,2,22,2,2816,1,0,1,0,1,1,1
0,1,2,0,3,1,4,1,105,3,108,1,1,17,19,11,0,2210,0,1,1,0,0,0,1
1,0,0,0,2,0,1,2,125,0,5168,0,3,1,40,17,0,1552,0,1,1,0,0,1,1
0,1,2,3,0,0,5,0,280,2,672,0,3,24,34,18,0,2406,1,1,1,0,0,0,1
1,0,2,0,2,2,4,1,238,3,94,3,3,17,21,22,1,3004,1,0,0,1,1,1,1
1,0,3,1,3,0,5,1,270,1,3114,2,3,14,5,10,1,2540,0,1,0,1,1,1,1
0,0,3,2,2,0,3,0,80,1,7134,3,2,5,8,5,2,2424,1,1,1,0,1,1,0
2,0,2,3,0,0,0,1,276,1,8609,3,6,6,14,20,2,4000,0,1,1,0,0,1,0
0,0,0,0,2,1,4,2,210,0,852,3,1,16,32,10,0,1288,1,1,0,0,1,1,1
1,1,3,0,2,1,4,0,270,1,1673,1,6,16,50,14,2,2317,1,1,0,1,0,1,0
0,0,3,3,0,1,4,2,152,3,1564,2,7,9,17,15,2,2730,1,0,1,0,0,0,0
0,0,2,3,3,2,4,2,247,1,74,0,7,3,17,22,2,1371,0,0,0,0,0,0,1
0,0,0,1,2,0,5,1,145,1,2885,0,4,3,33,21,1,2349,0,0,1,1,0,0,1
0,1,2,2,2,0,5,0,260,1,8130,2,7,7,27,0,1,4536,1,0,1,0,0,1,0
2,0,3,2,3,1,4,2,283,3,228,3,3,2,40,17,0,2987,1,0,1,0,1,1,1
0,0,3,3,3,1,4,1,277,0,1162,1,4,1,20,7,1,1039,1,1,0,0,1,1,0
0,1,1,0,3,1,4,0,203,0,71,1,2,10,24,12,0,1036,0,1,1,0,1,1,0
1,0,0,2,2,0,0,0,213,2,6337,3,4,13,1,0,1,3620,0,0,0,1,1,0,0
0,1,2,3,2,1,4,0,135,1,1649,0,4,8,21,2,1,1009,1,1,1,0,1,0,1
3,0,0,1,2,0,0,2,96,3,6159,0,2,6,5,19,2,2895,1,0,1,1,1,1,1
2,1,0,3,1,0,0,1,162,0,9884,3,1,21,32,21,2,4294,0,0,1,1,1,1,0
0,1,2,3,3,0,2,1,233,2,4060,3,7,13,46,7,0,3429,1,0,0,0,1,1,0
3,0,0,1,2,2,4,1,262,1,68,1,7,11,13,9,2,1334,0,1,0,1,0,0,0
2,1,1,0,3,2,4,0,176,3,5,2,7,13,34,16,0,3697,0,0,0,1,0,0,0
0,0,1,2,2,1,4,2,176,1,702,0,4,7,31,18,1,1494,1,0,0,0,1,1,0
3,1,2,0,0,2,4,1,147,3,2,3,4,1,14,17,0,2779,1,0,1,0,1,0,1
2,0,0,0,0,2,4,2,83,1,42,0,1,7,0,1,0,993,1,0,1,0,1,1,0
0,0,0,0,0,1,4,0,205,0,274,3,5,20,32,0,1,1944,0,0,1,1,0,1,1
0,0,0,0,0,1,4,2,125,2,590,0,3,1,3,1,0,1474,1,0,1,1,0,0,1
2,1,3,2,2,0,0,2,145,2,84,0,1,1,5,22,2,1880,0,0,0,0,1,1,0
0,0,1,0,0,0,0,2,236,2,6908,2,3,15,8,17,2,3535,0,0,0,1,0,0,0
3,0,0,1,3,2,4,2,101,1,52,1,7,17,45,17,1,1644,0,1,1,0,1,1,1
1,0,3,3,2,0,3,0,77,2,121,3,2,2,0,3,1,1268,1,1,0,1,1,1,0
1,1,0,0,2,2,4,0,241,1,30,0,7,19,14,19,1,1529,1,1,0,0,0,0,0
1,1,2,2,1,1,4,0,124,1,1336,3,4,10,34,20,2,2076,0,0,0,0,0,0,1
1,1,0,0,1,2,4,2,82,0,89,2,4,5,49,10,1,1850,0,0,0,0,0,0,0
0,1,1,0,2,1,4,0,262,0,1412,0,6,10,7,19,1,1000,1,1,1,0,0,0,0
1,1,3,2,1,2,4,0,254,0,4,0,3,6,34,13,1,1485,0,0,0,1,1,0,0
2,0,1,3,0,1,4,1,76,1,1924,1,1,14,19,2,0,1139,1,1,1,0,1,1,1
3,0,1,1,2,2,4,0,207,0,64,2,2,8,13,14,0,682,1,1,1,1,0,1,1
2,1,2,1,2,0,1,2,234,0,8659,2,1,8,10,11,2,926,1,1,0,1,1,0,1
0,0,1,1,0,2,4,1,93,1,82,0,1,17,8,23,2,1037,0,1,0,1,0,1,1
0,0,2,0,1,2,4,2,76,3,31,0,4,1,0,0,0,1467,0,1,0,0,0,0,1
0,1,0,3,2,0,1,0,67,1,5230,1,3,5,6,0,1,914,1,0,1,0,1,1,1
3,0,0,2,1,1,4,0,101,2,450,3,4,22,35,20,0,1741,0,1,1,1,1,0,0
3,1,3,3,0,1,4,1,73,3,441,0,2,19,46,13,2,2742,1,0,1,1,1,0,1
1,0,3,2,3,0,3,0,280,1,6160,2,2,1,8,19,0,2988,1,1,1,1,1,1,1
2,0,2,2,0,2,4,2,85,2,35,1,4,20,34,4,1,2160,0,0,1,1,0,0,1
2,1,1,0,2,2,4,1,256,2,57,2,6,5,44,24,2,3098,0,0,0,1,0,1,0
0,1,3,1,3,2,4,1,193,3,7,3,3,10,43,7,1,2764,0,1,1,1,0,1,0
3,1,1,0,3,0,2,0,145,2,5469,1,4,16,5,5,0,2335,0,1,1,0,1,0,1
3,0,1,2,3,2,4,1,282,2,6,1,3,12,23,7,1,1462,1,1,1,1,1,0,1
1,1,0,1,0,1,4,1,133,2,21,0,3,5,31,11,1,2356,1,1,0,0,0,1,0
3,1,3,1,0,1,4,1,232,1,1127,1,1,19,45,16,0,1731,0,1,1,0,1,1,0
0,0,0,1,0,2,4,0,129,0,7,1,2,22,25,18,0,1162,0,1,0,0,0,0,0
0,0,3,3,0,0,1,2,140,2,6028,3,3,11,12,19,0,1884,1,0,0,0,0,0,0
3,1,2,1,3,0,3,1,155,1,1669,0,3,1,18,15,1,1505,0,1,0,1,0,1,0
1,1,1,0,3,1,4,2,171,0,1972,0,6,11,0,4,2,1252,1,0,1,1,0,1,1
0,0,0,0,1,1,4,1,274,0,684,1,6,9,22,10,0,1360,0,0,1,1,1,0,0
2,1,0,2,0,2,4,1,264,3,13,2,4,15,42,20,1,3824,0,0,1,0,0,1,1
0,1,2,1,0,0,3,2,98,3,8061,0,7,14,18,4,1,4580,1,1,1,0,0,1,1
0,0,2,2,0,0,3,2,252,0,2544,3,7,24,50,24,1,2833,1,1,1,0,1,1,1
3,1,3,2,1,2,4,1,256,1,46,3,1,17,35,14,2,1131,1,1,0,1,1,1,1
0,1,1,2,1,1,4,2,209,3,62,0,1,24,18,9,0,2382,0,0,0,0,0,1,0
0,1,2,0,3,0,1,2,269,2,4447,3,4,12,43,7,1,2649,0,0,1,0,1,0,0
0,1,1,3,3,0,0,2,113,1,4303,0,7,17,23,17,2,2706,0,1,1,0,1,1,1
2,1,2,1,1,0,3,1,270,3,3176,1,5,24,16,0,1,3045,1,1,1,0,0,1,1
3,1,1,3,3,0,0,0,72,1,7255,0,2,0,50,1,1,3134,0,1,0,1,0,1,0
1,1,2,0,3,2,4,1,101,3,62,3,7,2,19,11,0,3619,0,1,0,1,0,1,1
3,1,0,0,3,0,5,1,196,3,6254,0,6,21,45,20,2,5013,1,0,1,0,1,0,0
2,0,2,2,0,2,4,0,277,3,93,1,3,17,17,24,2,2443,0,1,0,0,0,0,0
0,0,0,2,3,2,4,0,91,0,86,0,3,2,8,7,1,488,1,1,1,1,1,0,1
2,1,1,2,3,1,4,0,97,1,357,3,7,4,39,23,1,2409,0,1,0,0,1,1,0
2,1,2,0,3,0,5,2,244,3,8725,2,7,10,46,1,1,7159,1,0,1,0,0,0,1
2,1,3,1,2,1,4,0,108,3,1753,1,5,13,16,2,2,2670,0,1,0,0,0,1,1
2,0,0,1,3,2,4,0,106,3,45,2,1,19,44,16,0,2321,1,1,1,1,1,0,1
3,1,2,2,0,1,4,0,103,1,292,0,5,14,25,11,1,1574,0,1,0,1,1,1,1
2,0,3,0,0,1,4,1,220,3,1739,1,6,20,0,20,2,2471,1,1,1,1,1,0,1
1,1,0,0,1,2,4,0,287,2,2,0,6,14,27,23,0,2541,0,1,0,0,1,0,1
2,0,0,1,3,2,4,1,123,3,38,1,3,0,21,19,2,2298,0,1,1,1,0,0,0
2,1,1,0,1,1,4,0,259,1,970,2,1,18,31,15,0,1445,1,0,1,1,0,0,0
2,1,2,2,2,0,3,1,172,0,8616,3,7,12,2,16,1,4240,1,1,1,0,0,0,0
3,1,1,2,0,1,4,0,227,3,635,0,3,4,42,11,2,2650,1,1,0,0,0,0,1
0,0,0,2,0,0,1,1,161,0,2914,1,1,3,13,23,0,1033,1,1,0,1,1,1,1
3,1,1,3,1,2,4,0,146,1,92,0,3,21,26,15,0,990,1,0,1,0,0,1,1
0,0,2,2,1,2,4,2,151,0,67,2,6,13,6,7,2,937,1,1,0,1,1,1,0
2,0,1,1,1,0,0,1,244,2,6972,1,5,3,23,23,0,3483,1,0,1,0,1,1,1
1,0,1,2,2,0,5,0,193,3,9812,2,3,5,31,17,0,6515,1,1,1,1,1,0,1
0,1,0,0,3,1,4,1,255,3,1057,0,7,8,27,18,0,2929,1,1,1,1,0,1,1
0,1,1,1,3,0,3,2,125,1,3295,2,1,11,34,11,0,2377,0,0,1,0,1,1,1
3,0,0,3,0,2,4,1,52,2,97,0,1,7,9,10,0,1252,1,1,1,1,1,0,1
0,0,0,2,3,0,1,0,252,1,9705,3,6,9,8,23,0,1874,0,0,0,1,0,0,0
3,0,2,0,2,0,0,1,69,1,3105,0,6,8,38,2,1,1579,1,1,0,0,0,1,1
2,1,0,3,2,2,4,1,139,0,6,3,1,23,2,11,1,974,0,1,0,1,0,1,0
2,1,3,3,1,2,4,2,242,3,34,0,2,15,42,8,2,2607,1,1,0,0,1,1,0
3,1,1,2,2,1,4,2,224,2,1328,2,2,24,28,22,0,2054,1,1,0,0,1,1,1
0,1,0,0,0,1,4,2,242,0,779,0,7,7,16,12,1,1662,1,0,0,1,1,1,0
2,0,2,1,2,1,4,0,193,1,913,3,4,5,29,1,2,1463,0,1,0,0,1,0,0
2,0,1,3,3,0,1,0,79,1,5464,0,1,19,45,14,0,1143,1,1,1,1,0,0,0
3,1,1,1,3,0,0,0,222,0,3912,1,6,7,41,20,1,2790,0,0,0,1,0,0,0
2,0,0,3,2,2,4,1,271,1,89,3,7,5,46,20,1,2629,1,1,0,1,1,1,0
2,0,0,1,3,0,2,0,193,2,4359,1,5,15,9,5,0,2338,0,1,0,1,1,1,0
2,0,1,1,0,0,0,0,156,1,7873,2,7,21,44,6,0,3984,0,1,1,1,1,0,1
0,1,1,3,2,1,4,0,168,1,374,0,2,20,34,3,1,1253,1,1,0,0,1,1,1
1,0,3,0,2,1,4,1,175,1,1218,1,1,10,17,19,0,1480,0,0,0,0,1,0,1
2,0,0,0,2,2,4,2,212,1,1,1,1,4,38,9,0,1556,0,1,1,0,0,1,0
2,1,0,1,2,1,4,0,101,0,638,1,7,8,36,1,2,1847,0,0,0,0,1,0,0
0,0,0,2,2,0,2,1,296,1,8641,1,4,19,3,20,1,2778,0,0,1,1,0,1,1
0,1,0,3,0,2,4,0,66,0,46,0,5,14,50,14,0,1828,0,0,1,1,0,0,0
2,0,3,0,3,0,2,0,210,1,2871,2,1,15,35,0,2,1684,0,1,0,0,0,0,0
1,0,0,1,0,1,4,1,189,3,978,3,1,15,46,24,2,3503,0,1,1,1,1,0,1
0,0,0,2,2,1,4,2,225,3,1585,1,1,12,36,1,0,2540,1,0,0,1,1,1,0
3,0,2,3,3,2,4,1,139,0,92,3,2,11,21,1,1,838,1,0,1,0,1,1,1
0,0,3,0,0,0,3,2,217,3,4197,1,4,17,28,8,0,3559,1,0,1,0,0,0,1
0,0,2,3,1,1,4,2,275,2,199,1,4,15,2,16,0,1237,1,0,1,1,0,0,0
0,0,0,3,0,1,4,0,81,2,732,1,4,1,6,1,1,1406,1,1,0,1,1,1,0
